date	merged	new
2016-10-24	45	51
2016-10-23		2
2016-10-22	5	5
2016-10-21	42	44
2016-10-20	48	53
2016-10-19	52	62
2016-10-18	48	57
2016-10-17	41	49
2016-10-16	2	3
2016-10-15	2	3
2016-10-14	40	39
2016-10-13	50	53
2016-10-12	41	47
2016-10-11	38	43
2016-10-10	32	37
2016-10-09	9	9
2016-10-08	8	10
2016-10-07	28	30
2016-10-06	35	42
2016-10-05	39	39
2016-10-04	40	45
2016-10-03	32	35
2016-10-02	1	3
2016-10-01	5	6
2016-09-30	44	51
2016-09-29	51	56
2016-09-28	46	48
2016-09-27	49	61
2016-09-26	40	44
2016-09-25	3	4
2016-09-24	3	4
2016-09-23	37	41
2016-09-22	46	47
2016-09-21	39	48
2016-09-20	46	48
2016-09-19	36	44
2016-09-18	11	12
2016-09-17	4	5
2016-09-16	34	40
2016-09-15	35	35
2016-09-14	46	49
2016-09-13	46	54
2016-09-12	35	38
2016-09-11	3	3
2016-09-10	3	4
2016-09-09	43	49
2016-09-08	47	52
2016-09-07	39	43
2016-09-06	39	42
2016-09-05	21	24
2016-09-04	2	2
2016-09-03		2
2016-09-02	36	38
2016-09-01	42	47
2016-08-31	44	50
2016-08-30	42	50
2016-08-29	34	35
2016-08-28	3	4
2016-08-27	1	3
2016-08-26	34	40
2016-08-25	34	37
2016-08-24	39	43
2016-08-23	44	47
2016-08-22	39	39
2016-08-21	3	3
2016-08-20	4	5
2016-08-19	38	39
2016-08-18	39	43
2016-08-17	35	40
2016-08-16	41	45
2016-08-15	36	41
2016-08-14	1	1
2016-08-13	1	2
2016-08-12	29	31
2016-08-11	34	39
2016-08-10	38	39
2016-08-09	33	36
2016-08-08	30	34
2016-08-07		1
2016-08-06	2	3
2016-08-05	28	31
2016-08-04	41	43
2016-08-03	40	42
2016-08-02	40	43
2016-08-01	32	35
2016-07-31	1	1
2016-07-30	3	4
2016-07-29	35	35
2016-07-28	36	41
2016-07-27	33	37
2016-07-26	34	41
2016-07-25	32	39
2016-07-24	1	2
2016-07-23	3	3
2016-07-22	38	42
2016-07-21	38	39
2016-07-20	38	40
2016-07-19	33	38
2016-07-18	31	34
2016-07-17	1	2
2016-07-16	2	2
2016-07-15	28	32
2016-07-14	26	32
2016-07-13	29	31
2016-07-12	34	34
2016-07-11	20	22
2016-07-10	1	2
2016-07-08	2	2
2016-07-07	28	32
2016-07-06	26	32
2016-07-05	29	31
2016-07-04	34	34
2016-07-03	20	22
2016-07-02	1	2
2016-07-01	2	2
2016-06-30	28	32
2016-06-29	26	32
2016-06-28	29	31
2016-06-27	34	34
2016-06-26	20	22
2016-06-25	3	3
2016-06-24	22	23
2016-06-23	39	40
2016-06-22	38	40
2016-06-21	40	43
2016-06-20	37	41
2016-06-19	2	2
2016-06-18	2	2
2016-06-17	30	33
2016-06-16	34	37
2016-06-15	35	42
2016-06-14	44	46
2016-06-13	32	43
2016-06-12	6	5
2016-06-11	3	4
2016-06-10	31	35
2016-06-09	32	38
2016-06-08	41	47
2016-06-07	37	45
2016-06-06	38	43
2016-06-05	3	3
2016-06-04	3	4
2016-06-03	34	39
2016-06-02	44	47
2016-06-01	36	37
2016-05-31	34	41
2016-05-30	18	21
2016-05-29	3	2
2016-05-28	2	1
2016-05-27	26	29
2016-05-26	32	37
2016-05-25	30	33
2016-05-24	28	33
2016-05-23	20	23
2016-05-22	2	2
2016-05-21	3	4
2016-05-20	34	37
2016-05-19	42	47
2016-05-18	38	45
2016-05-17	38	40
2016-05-16	26	29
2016-05-15	2	2
2016-05-14	1	2
2016-05-13	34	41
2016-05-12	35	38
2016-05-11	34	39
2016-05-10	29	34
2016-05-09	31	36
2016-05-08	2	1
2016-05-07	1	1
2016-05-06	30	33
2016-05-05	30	32
2016-05-04	28	35
2016-05-03	30	36
2016-05-02	19	19
2016-05-01	2	2
2016-04-30	2	3
2016-04-29	29	35
2016-04-28	33	35
2016-04-27	32	36
2016-04-26	31	34
2016-04-25	28	32
2016-04-24	2	2
2016-04-23	2	3
2016-04-22	28	30
2016-04-21	35	38
2016-04-20	31	33
2016-04-19	29	35
2016-04-18	29	30
2016-04-17	1	2
2016-04-16	1	2
2016-04-15	27	29
2016-04-14	32	37
2016-04-13	30	33
2016-04-12	33	37
2016-04-11	27	30
2016-04-10	2	3
2016-04-09	1	1
2016-04-08	21	24
2016-04-07	26	28
2016-04-06	27	31
2016-04-05	29	30
2016-04-04	23	24
2016-04-03	2	2
2016-04-02	1	1
2016-04-01	24	29
2016-03-31	28	31
2016-03-30	29	33
2016-03-29	28	31
2016-03-28	14	16
2016-03-27	2	2
2016-03-26	1	2
2016-03-25	16	18
2016-03-24	30	31
2016-03-23	28	31
2016-03-22	28	30
2016-03-21	24	28
2016-03-20	1	1
2016-03-19	2	3
2016-03-18	26	30
2016-03-17	27	31
2016-03-16	27	31
2016-03-15	27	29
2016-03-14	24	26
2016-03-13	1	2
2016-03-12	2	3
2016-03-11	20	24
2016-03-10	23	26
2016-03-09	24	29
2016-03-08	26	27
2016-03-07	21	22
2016-03-06	1	1
2016-03-05	2	3
2016-03-04	26	30
2016-03-03	27	30
2016-03-02	25	29
2016-03-01	25	28
2016-02-29	23	24
2016-02-28	1	1
2016-02-27	2	3
2016-02-26	22	22
2016-02-25	26	29
2016-02-24	27	28
2016-02-23	28	31
2016-02-22	22	26
2016-02-21	1	1
2016-02-20	1	2
2016-02-19	25	28
2016-02-18	21	25
2016-02-17	23	23
2016-02-16	22	24
2016-02-15	8	10
2016-02-14	1	2
2016-02-13	1	2
2016-02-12	19	21
2016-02-11	19	21
2016-02-10	17	19
2016-02-09	21	23
2016-02-08	13	18
2016-02-06	1	2
2016-02-05	24	27
2016-02-04	19	22
2016-02-03	24	26
2016-02-02	26	29
2016-02-01	22	24
