date	total (last four weeks)	total (last week)	total (last day)	in organizations (last four weeks)	in organizations (last week)	in organizations (last day)	in user accounts (last four weeks)	in user accounts (last week)	in user accounts (last day)
2017-09-06	2927	2333	1722	1068	865	633	1859	1468	1089
2017-09-07	2923	2336	1654	1062	867	603	1861	1469	1051
2017-09-08	2933	2345	1768	1066	869	666	1867	1476	1102
2017-09-09	2952	2343	1757	1073	868	665	1879	1475	1092
2017-09-10	2961	2362	588	1073	879	207	1888	1483	381
2017-09-11	2972	2369	361	1082	878	125	1890	1491	236
2017-09-12	2983	2372	1647	1085	877	599	1898	1495	1048
2017-09-13	2985	2381	1752	1084	885	634	1901	1496	1118
2017-09-14	3012	2390	1664	1098	883	592	1914	1507	1072
2017-09-15	3018	2401	1734	1098	893	641	1920	1508	1093
2017-09-16	3025	2413	623	1105	898	208	1920	1515	415
2017-09-17	3035	2420	343	1105	896	133	1930	1524	210
2017-09-18	3042	2428	1715	1109	901	598	1933	1527	1117
2017-09-19	3048	2433	1733	1112	898	606	1936	1535	1127
2017-09-20	3066	2441	1885	1116	903	680	1950	1538	1205
2017-09-21	3065	2443	1771	1116	905	685	1949	1538	1086
2017-09-22	3074	2457	648	1118	911	234	1956	1546	414
2017-09-23	3090	2466	362	1123	918	125	1967	1548	237
2017-09-24	3103	2474	1813	1129	919	671	1974	1555	1142
2017-09-25	3110	2487	1756	1133	922	623	1977	1565	1133
2017-09-26	3127	2493	1807	1138	925	628	1989	1568	1179
2017-09-27	3138	2496	1859	1143	924	683	1995	1572	1176
2017-09-28	3145	2508	646	1141	932	223	2004	1576	423
2017-09-29	3157	2516	376	1148	937	135	2009	1579	241
2017-09-30	3171	2529	1874	1157	939	640	2014	1590	1234
2017-10-01	3170	2533	1953	1154	940	683	2016	1593	1270
2017-10-02	3181	2544	1809	1158	946	656	2023	1598	1153
2017-10-03	3191	2548	1809	1159	949	649	2032	1599	1160
2017-10-04	3216	2556	616	1173	946	223	2043	1610	393
2017-10-05	3228	2573	365	1176	956	130	2052	1617	235
2017-10-06	3237	2591	1882	1177	962	711	2060	1629	1171
2017-10-07	3249	2603	1819	1183	967	661	2066	1636	1158
2017-10-08	3267	2612	1893	1186	967	737	2081	1645	1156
2017-10-09	3286	2625	2013	1200	974	738	2086	1651	1275
2017-10-10	3306	2624	671	1204	974	256	2102	1650	415
2017-10-11	3315	2645	368	1203	978	130	2112	1667	238
2017-10-12	3339	2653	1894	1217	982	659	2122	1671	1235
2017-10-13	3352	2664	1997	1218	986	727	2134	1678	1270
2017-10-14	3358	2683	2007	1222	997	721	2136	1686	1286
2017-10-15	3376	2686	1936	1233	993	676	2143	1693	1260
2017-10-16	3394	2706	696	1239	1004	246	2155	1702	450
2017-10-17	3408	2718	397	1237	1011	151	2171	1707	246
2017-10-18	3426	2720	2033	1246	1009	770	2180	1711	1263
2017-10-19	3434	2747	1992	1251	1021	691	2183	1726	1301
2017-10-20	3453	2750	1990	1253	1019	748	2200	1731	1242
2017-10-21	3479	2754	2082	1267	1020	744	2212	1734	1338
2017-10-22	3491	2777	697	1272	1030	270	2219	1747	427
2017-10-23	3491	2784	415	1269	1033	156	2222	1751	259
2017-10-24	3523	2799	1966	1284	1034	727	2239	1765	1239
2017-10-25	3532	2815	2041	1287	1040	743	2245	1775	1298
2017-10-26	3543	2821	2010	1290	1044	730	2253	1777	1280
2017-10-27	3567	2837	2016	1298	1056	707	2269	1781	1309
2017-10-28	3578	2845	745	1304	1057	261	2274	1788	484
2017-10-29	3592	2859	413	1304	1064	158	2288	1795	255
2017-10-30	3607	2876	2062	1311	1071	788	2296	1805	1274
2017-10-31	3626	2895	2121	1318	1074	771	2308	1821	1350
